School,Final Score,Max Score,Vocab,Compre,TotalTime
DPS Howrah,27,,6,21,2329
DPS Howrah,26,,8,18,2312
DPS Howrah,28,,8,20,2400
DPS Howrah,23,,5,18,1331
DPS Howrah,43,,14,29,2338
DPS Howrah,34,,9,25,1432
DPS Howrah,30,,5,25,1542
DPS Howrah,31,,6,25,2092
DPS Howrah,30,,7,23,1484
DPS Howrah,32,,9,23,1618
DPS Howrah,24,,7,17,1863
DPS Howrah,26,,7,19,1876
DPS Howrah,27,,6,21,1848
DPS Howrah,18,,5,13,1666
DPS Howrah,32,,8,24,1805
DPS Howrah,27,,6,21,1954
DPS Howrah,28,,9,19,2363
DPS Howrah,29,,7,22,2400
DPS Howrah,28,,8,20,1531
DPS Howrah,24,,7,17,1909
DPS Howrah,16,,1,15,2400
DPS Howrah,35,,10,25,1940
DPS Howrah,23,,8,15,2139
DPS Howrah,31,,9,22,2016
DPS Howrah,23,,9,14,1936
DPS Howrah,22,,7,15,1428
DPS Howrah,31,,7,24,1554
DPS Howrah,28,,7,21,1348
DPS Howrah,27,,9,18,1242
DPS Howrah,35,,7,28,1359
DPS Howrah,25,,7,18,1376
DPS Howrah,32,,9,23,1417
DPS Howrah,28,,8,20,2400
DPS Howrah,23,,8,15,2400
DPS Howrah,30,,8,22,1924
DPS Howrah,27,,5,22,1965
DPS Howrah,18,,4,14,2210
DPS Howrah,24,,7,17,1687
DPS Howrah,18,,6,12,1296
DPS Howrah,26,,8,18,1762
DPS Howrah,30,,6,24,1420
DPS Howrah,25,,4,21,1771
DPS Howrah,37,,10,27,1955
DPS Howrah,25,,4,21,1635
DPS Howrah,22,,8,14,1876
DPS Howrah,26,,8,18,1895
DPS Howrah,24,,6,18,2336
DPS Howrah,25,,9,16,1848
GEMS International School Gurgaon,20,,8,12,857
GEMS International School Gurgaon,26,,6,20,1863
GEMS International School Gurgaon,33,,9,24,1560
GEMS International School Gurgaon,30,,7,23,1881
GEMS International School Gurgaon,31,,10,21,1833
GEMS International School Gurgaon,25,,7,18,1126
GEMS International School Gurgaon,15,,0,15,1743
GEMS International School Gurgaon,33,,7,26,2092
GEMS International School Gurgaon,32,,8,24,982
GEMS International School Gurgaon,38,,9,29,1288
GEMS International School Gurgaon,31,,7,24,2400
GEMS International School Gurgaon,34,,9,25,1803
GEMS International School Gurgaon,35,,8,27,2020
GEMS International School Gurgaon,20,,4,16,1907
GEMS International School Gurgaon,27,,9,18,1999
GEMS International School Gurgaon,31,,7,24,2017
GEMS International School Gurgaon,35,,8,27,1355
GEMS International School Gurgaon,33,,6,27,2330
GEMS International School Gurgaon,15,,4,11,340
GEMS International School Gurgaon,33,,10,23,1029
GEMS International School Gurgaon,21,,8,13,1116
GEMS International School Gurgaon,30,,7,23,1384
GEMS International School Gurgaon,14,,3,11,653
GEMS International School Gurgaon,15,,2,13,1407
GEMS International School Gurgaon,38,,12,26,1097
GEMS International School Gurgaon,27,,7,20,1432
GEMS International School Gurgaon,17,,6,11,1908
GEMS International School Gurgaon,33,,1.00E+01,23,1396
GEMS International School Gurgaon,28,,6.00E+00,22,2243
GEMS International School Gurgaon,4,,0.00E+00,4,244
GEMS International School Gurgaon,23,,5.00E+00,18,2157
GEMS International School Gurgaon,34,,9.00E+00,25,1823
GEMS International School Gurgaon,19,,5.00E+00,14,1593
GEMS International School Gurgaon,31,,7.00E+00,24,2143
GEMS International School Gurgaon,24,,6.00E+00,18,2153
GEMS International School Gurgaon,22,,9.00E+00,13,1393
GEMS International School Gurgaon,16,,4.00E+00,12,1782
GEMS International School Gurgaon,33,,8,25,1922
GEMS International School Gurgaon,25,,7,18,2285
GEMS International School Gurgaon,26,,5,21,1595
GEMS International School Gurgaon,41,,12,29,1767
GEMS International School Gurgaon,24,,1,23,1790
GEMS International School Gurgaon,17,,7,10,1373
GEMS International School Gurgaon,36,,9,27,1820
GEMS International School Gurgaon,29,,6,23,2135
GEMS International School Gurgaon,21,,0,21,503
GEMS International School Gurgaon,27,,8,19,1737
GEMS International School Gurgaon,23,,6,17,1248
GEMS International School Gurgaon,23,,10,13,1332
GEMS International School Gurgaon,26,,5,21,1805
GEMS International School Gurgaon,25,,4,21,1605
GEMS International School Gurgaon,30,,9,21,1473
GEMS International School Gurgaon,35,,11,24,1516
GEMS International School Gurgaon,24,,5,19,1395
GEMS International School Gurgaon,36,,10,26,1863
GEMS International School Gurgaon,37,,10,27,1866
GEMS International School Gurgaon,28,,7,21,1900
GEMS International School Gurgaon,25,,6,19,2213
GEMS International School Gurgaon,31,,8,23,1694
GEMS International School Gurgaon,25,,5,20,1225
GEMS International School Gurgaon,22,,8,14,1179
